Nama Kost,Wilayah,Harga,Ukuran (m2),Jumlah Fasilitas,Segmen_Pasar,all_facilities_bs
Kost Agung Utara Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.600.000,12.0,21,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja Rias; Lemari Baju; Ventilasi; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; Laundry; R. Makan; R. Jemur; Mushola; Parkir Motor; Parkir Sepeda
Kost Agustin Tipe B Kado Limo Depok,Depok,Rp 1.250.000,12.0,21,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; R. Jemur; Dapur; Taman; Balcon; Pengurus Kos; Jemuran; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost AIIIR Residence Tipe Ekonomi Serpong Tangerang Selatan,Tangerang Selatan,Rp 1.300.000,12.0,25,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Cermin; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Makan; R. Jemur; Mushola; R. Santai; Dapur; Parkir Motor; Parkir Sepeda
Kost Aisyah 2 Setu Tangerang Selatan,Tangerang Selatan,Rp 950.000,6.760000000000001,18,Ekonomis,2.6 x 2.6 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; Balcon; CCTV; Jemuran; Pengurus Kos; Rooftop; Parkir Motor
Kost Akim Tipe C Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.450.000,12.0,13,Ekonomis,4 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; Kulkas; R. Tamu; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Al Fazza Tangerang,Tangerang,Rp 1.300.000,16.0,29,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Cleaning service; K. Mandi Dalam; Kloset Duduk; Ember mandi; Wastafel; Shower; Bathtub; WiFi; Kulkas; R. Cuci; R. Tamu; Penjaga Kos; R. Jemur; R. Makan; R. Santai; Dapur; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Al Musafir Bogor Co Living VIP MEZZO Dramaga Bogor,Bogor,Rp 2.500.000,18.0,26,Standar,3 x 6 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; Penjaga Kos; R. Tamu; Mushola; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Alam Pesona Sentul City Cluster Babakan Madang Bogor,Bogor,Rp 1.200.000,9.0,27,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Cleaning service; Bantal; Cermin; Guling; Kloset Duduk; K. Mandi Luar; Wastafel; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; TV; Taman; R. Keluarga; Parkir Mobil; Parkir Motor
Kost Alam Raya Bandara Tipe C Benda Tangerang,Tangerang,Rp 1.500.000,9.0,21,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Meja Rias; Lemari Baju; Jendela; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Dispenser; TV; Parkir Mobil; Parkir Motor
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Rp 1.400.000,12.0,11,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Jongkok; R. Cuci; R. Jemur; Parkir Motor; Parkir Sepeda
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Rp 1.400.000,12.0,11,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Jongkok; R. Cuci; R. Jemur; Parkir Motor; Parkir Sepeda
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Rp 1.400.000,12.0,11,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Jongkok; R. Cuci; R. Jemur; Parkir Motor; Parkir Sepeda
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Rp 1.400.000,12.0,11,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Jongkok; R. Cuci; R. Jemur; Parkir Motor; Parkir Sepeda
Kost Alia CBD Karang Tengah Tangerang,Tangerang,Rp 750.000,9.0,13,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Penjaga Kos; Balcon; Parkir Motor; Parkir Sepeda
Kost Alinoo Cikarang Selatan Bekasi,Bekasi,Rp 1.495.000,9.0,25,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Sofa; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Tamu; Mesin Cuci; R. Jemur; R. Santai; Dapur; Dispenser; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Alisha Executive Pasar Rebo Jakarta Timur,Jakarta Timur,Rp 1.850.000,12.0,24,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Bantal; Cermin; Cleaning service; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Parkir Motor & Sepeda
Kost Alisha Executive Pasar Rebo Jakarta Timur,Jakarta Timur,Rp 1.850.000,12.0,24,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Bantal; Cermin; Cleaning service; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Parkir Motor & Sepeda
Kost Alisha Tipe A Pasar Rebo Jakarta Timur,Jakarta Timur,Rp 1.850.000,12.0,24,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Bantal; Cermin; Cleaning service; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Parkir Motor & Sepeda
Kost Alma Ceger Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 1.100.000,12.0,14,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Ventilasi; Bantal; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Dapur; Balcon; Parkir Motor
Kost Almic Guesthouse Tipe S Keyless New Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 2.100.000,12.0,19,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Jongkok; Shower; WiFi; Penjaga Kos; R. Jemur; CCTV; Jual Makanan; Parkir Motor; Parkir Motor & Sepeda
Kost Almic Property Tipe I Caringin Bogor,Bogor,Rp 800.000,7.5,10,Ekonomis,2.5 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Jemuran; Parkir Motor
Kost Almic Property Tipe L Caringin Bogor,Bogor,Rp 800.000,12.0,8,Ekonomis,3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; K. Mandi Dalam; Kloset Jongkok; Jemuran; Parkir Motor
Kost Almic Property Tipe M Caringin Bogor,Bogor,Rp 800.000,12.0,8,Ekonomis,3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; K. Mandi Dalam; Kloset Jongkok; Jemuran; Parkir Motor
Kost Almic Property Tipe N Caringin Bogor,Bogor,Rp 2.000.000,12.0,13,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Jongkok; Jemuran; Parkir Motor
Kost Almic Tipe A Caringin Bogor,Bogor,Rp 1.500.000,20.0,12,Ekonomis,4 x 5 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Penjaga Kos; Parkir Motor
Kost Almic Tipe B Caringin Bogor,Bogor,Rp 1.000.000,9.0,12,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Bantal; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Penjaga Kos; Jemuran; Parkir Motor
Kost Almic Tipe M Deluxe Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 2.200.000,16.0,22,Premium,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Penjaga Kos; CCTV; Jemuran; Jual Makanan; Pengurus Kos; Kartu Akses; Parkir Motor; Parkir Sepeda
Kost Almic Tipe XS Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.500.000,9.0,17,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Wastafel; Bantal; Kipas Angin; Meja makan; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; CCTV; Pengurus Kos; Kartu Akses; Parkir Motor; Parkir Sepeda
Kost Amanah Pak Reza Tipe A Pulo Gadung Jakarta Timur,Jakarta Timur,Rp 2.200.000,13.5,12,Ekonomis,4.5 x 3 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; R. Jemur; Dispenser; Balcon; Jemuran; Parkir Motor
Kost Amanah Pak Reza Tipe B Pulo Gadung Jakarta Timur,Jakarta Timur,Rp 1.500.000,9.0,13,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Ventilasi; Bantal; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Penjaga Kos; R. Jemur; Balcon; Jemuran; Parkir Motor
Kost Amarta Merak Cikarang Utara Bekasi,Bekasi,Rp 1.150.000,11.2,20,Standar,2.8 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Penjaga Kos; Dapur; Balcon; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Amerta 1000 Tipe A1 Cikarang Utara Bekasi,Bekasi,Rp 1.100.000,12.0,17,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Pengurus Kos; Parkir Motor & Sepeda
Kost Anami Serpong Utara Tangerang Selatan,Tangerang Selatan,Rp 1.800.000,10.5,20,Ekonomis,3 x 3.5 meter; Tidak termasuk listrik; AC; Kasur; Meja Rias; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Shower; Kulkas; Laundry; Dispenser; Balcon; Jemuran; Jual Makanan; Locker; Rice Cooker; Parkir Motor; Parkir Sepeda
Kost Andi Cibinong Bogor,Bogor,Rp 1.500.000,12.0,21,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; R. Tamu; Mesin Cuci; R. Makan; R. Jemur; R. Santai; Dapur; TV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Andina Cibinong Bogor,Bogor,Rp 2.500.000,12.0,24,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Dapur Pribadi; Jendela; Sofa; Wastafel; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; R. Tamu; R. Makan; R. Santai; Dapur; R. Keluarga; Taman; Kartu Akses; Locker; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Angel 2 Tipe A Koja Jakarta Utara,Jakarta Utara,Rp 1.400.000,9.0,21,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Guling; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; R. Cuci; Kulkas; R. Tamu; R. Jemur; R. Santai; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Rp 1.500.000,12.0,23,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Santai; Balcon; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Rp 1.500.000,12.0,23,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Santai; Balcon; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Rp 1.500.000,12.0,23,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Santai; Balcon; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Rp 1.500.000,12.0,23,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Santai; Balcon; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Rp 1.500.000,12.0,23,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Santai; Balcon; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Anisa Regency Beji Depok,Depok,Rp 1.400.000,12.0,23,Standar,3 x 4 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; R. Makan; R. Jemur; R. Santai; Dapur; Parkir Motor; Parkir Sepeda
Kost Anisah Tipe B Beji Depok,Depok,Rp 1.300.000,16.0,12,Premium,4 x 4 meter; Tidak termasuk listrik; AC; Meja; TV; Meja Rias; Lemari Baju; Wastafel; Ember mandi; Shower; Air panas; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Anne AC VIP Cikarang Selatan Bekasi,Bekasi,Rp 1.250.000,17.5,24,Standar,3.5 x 5 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Sofa; Cermin; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Jemur; Dapur; Dispenser; CCTV; Balcon; Jemuran; Rooftop; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost AP Tipe A Grogol Petamburan Jakarta Barat,Jakarta Barat,Rp 2.600.000,16.0,24,Premium,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kulkas; Kursi; Sofa; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Tamu; Penjaga Kos; Laundry; R. Jemur; R. Santai; Dapur; Balcon; K. Mandi Luar; Parkir Mobil; Parkir Motor; Parkir Sepeda
